job_title,experience,salary,location,job_description,tech_stack
Data Scientist - Credit Risk Model Developer,3-5 Yrs ,Not disclosed ,,With complex work items clarity is key to minimising re-work and ensuring accuracy. oSu...,"['IT services', 'Health insurance', 'Operational risk', 'External audit', 'Analytical', 'Consulting', 'Resourcing', 'risk consulting']"
Data Scientist,8-10 Yrs ,Not disclosed ,,"Very good knowledge on SQL-Joins, indexing, rank vs. dense rank, row number, stored pro...","['IT services', 'Analytical', 'Machine learning', 'CMMI', 'Healthcare', 'Forecasting', 'Financial services', 'SQL']"
Senior Data Scientist,8-10 Yrs ,Not disclosed ,,"Very good knowledge on SQL-Joins, indexing, rank vs. dense rank, row number, stored pro...","['IT services', 'Analytical', 'Machine learning', 'CMMI', 'Healthcare', 'Forecasting', 'Financial services', 'SQL']"
"Quants, Sports Data Scientist",2-6 Yrs ,Not disclosed ,,"Undertaking data collection, preprocessing and analysis Building models to address ...","['Machine learning', 'Data collection', 'data visualization', 'Collections', 'Data', 'Machine', 'Sports']"
Senior Data Scientist,8-10 Yrs ,Not disclosed ,,Should have analyzed the performance of this deployed model and deduced prescriptive ML...,"['MS SQL', 'data science', 'RDBMS', 'MySQL', 'Agile', 'CMMI', 'Healthcare', 'HTML']"
NLP Data Scientist,5-9 Yrs ,Not disclosed ,,"Experience in the Semantic search, Query expansion, Synonyms, Vocabulary and Graph DBBa...","['Elastic Search', 'Semantic search', 'Natural Language processing', 'data ingestion', 'Graph DB', 'System Integration', 'Process', 'Db']"
Data Scientist,3-5 Yrs ,Not disclosed ,,Demonstrated ability to work well in a global team environment. Should be a self-starte...,"['data cleansing', 'Operations research', 'Data modeling', 'Time series analysis', 'Machine learning', 'Software development life cycle', 'IC engines', 'Industrial machinery']"
"Hiring Data Scientists For Spearhead Technology India,Bangalore",9-14 Yrs ,Not disclosed ,,"Dear Candidates, We are actively looking for Data Scientists for Bangalore Location wit...","['Machine Learning', 'Predictive Modeling', 'Artificial Intelligence', 'Data science', 'Neural Networks', 'Al', 'LLM', 'Deep Learning']"
Analytics Manager,10-16 Yrs ,Not disclosed ,,Roles and Responsibilities . Analytics Managers having work experience of 12+ years in ...,"['algorithms', 'data mining', 'power bi', 'MSBI', 'statistics', 'data analytics', 'Bi', 'Management']"
Data Scientist (Full-time/Permanent),4-7 Yrs ,Not disclosed ,,"Performance Optimization: Continuously seek opportunities for performance optimization,...","['Python', 'database management', 'R', 'Power BI', 'GitHub', 'Data Visualization', 'Tableau', 'Statistical Analysis']"
Requirement AI and ML,4-9 Yrs ,Not disclosed ,,Industry experience building innovative end-to-end machine learning systems . 4+ years ...,"['AI', 'Machine Learning', 'Ml', 'Ai Techniques', 'Artificial Intelligence', 'Requirements', 'Machine']"
NLP Data Scientist,3-5 Yrs ,Not disclosed ,,Minimum of 3 years of experience will be considered Skills & Attitude: Excellent analyt...,"['Technical product configuration', 'c++', 'C', 'design', 'MySQL', 'JavaScript', 'integration PHP', 'HTML']"
